"ID","CD_MIC","NM_MIC","AR_MUN_2018"
"159","25007","Serra do Teixeira","2623.286"
"160","25008","Seridó Ocidental Paraibano","1738.548"
"161","25009","Seridó Oriental Paraibano","2604.827"
"162","25010","Cariri Ocidental","6998.547"
"163","25011","Cariri Oriental","4219.744"
"164","25012","Curimataú Ocidental","3911.602"
"165","25013","Curimataú Oriental","1346.044"
"166","25014","Esperança","276.959"
"167","25015","Brejo Paraibano","1162.491"
"168","25016","Guarabira","1290.953"
"169","25017","Campina Grande","2103.659"
"170","25018","Itabaiana","1658.724"
"171","25019","Umbuzeiro","1180.753"
"172","25020","Litoral Norte","1962.809"
"173","25021","Sapé","1134.378"
"174","25022","João Pessoa","1258.646"
"175","25023","Litoral Sul","874.956"
"176","26001","Araripina","11544.516"
"177","26002","Salgueiro","8743.848"
"178","26003","Pajeú","8769.896"
"179","26004","Sertão do Moxotó","8812.419"
"180","26005","Petrolina","14974.444"
"181","26006","Itaparica","9508.658"
"182","26007","Vale do Ipanema","5475.985"
"183","26008","Vale do Ipojuca","7870.981"
"184","26009","Alto Capibaribe","1779.73"
"185","26010","Médio Capibaribe","1758.657"
"186","26011","Garanhuns","5098.759"
"187","26012","Brejo Pernambucano","2548.43"
"188","26013","Mata Setentrional Pernambucana","2939.074"
"189","26014","Vitória de Santo Antão","941.045"
"190","26015","Mata Meridional Pernambucana","4521.317"
"191","26016","Itamaracá","543.168"
"192","26017","Recife","1251.341"
"193","26018","Suape","967.144"
"194","26019","Fernando de Noronha","18.609"
"195","27001","Serrana do Sertão Alagoano","2612.468"
"196","27002","Alagoana do Sertão do São Francisco","1358.232"
"197","27003","Santana do Ipanema","3059.84"
"198","27004","Batalha","1811.069"
"199","27005","Palmeira dos Índios","2388.852"
"200","27006","Arapiraca","2436.486"
"201","27007","Traipu","943.001"
"202","27008","Serrana dos Quilombos","1826.238"
"203","27009","Mata Alagoana","3949.776"
"204","27010","Litoral Norte Alagoano","1004.93"
"205","27011","Maceió","1793.517"
"206","27012","São Miguel dos Campos","2953.807"
"207","27013","Penedo","1705.079"
"208","28001","Sergipana do Sertão do São Francisco","5438.98"
"209","28002","Carira","1874.705"
"210","28003","Nossa Senhora das Dores","1252.681"
"211","28004","Agreste de Itabaiana","1123.746"
"212","28005","Tobias Barreto","2028.374"
"213","28006","Agreste de Lagarto","1499.528"
"214","28007","Propriá","1020.789"
"215","28008","Cotinguiba","768.583"
"216","28009","Japaratuba","1443.727"
"217","28010","Baixo Cotinguiba","742.122"
"218","28011","Aracaju","867.486"
"219","28012","Boquim","1840.282"
"220","28013","Estância","2025.905"
"221","29001","Barreiras","52821.483"
"222","29002","Cotegipe","22630.953"
"223","29003","Santa Maria da Vitória","41985.601"
"224","29004","Juazeiro","54731.608"
"225","29005","Paulo Afonso","12475.057"
"226","29006","Barra","32546.307"
"227","29007","Bom Jesus da Lapa","14415.122"
"228","29008","Senhor do Bonfim","16626.623"
"229","29009","Irecê","18205.839"
"230","29010","Jacobina","18801.021"
"231","29011","Itaberaba","16488.193"
"232","29012","Feira de Santana","12743.102"
"233","29013","Jeremoabo","8007.098"
"234","29014","Euclides da Cunha","18685.332"
"235","29015","Ribeira do Pombal","8728.686"
"236","29016","Serrinha","10645.688"
"237","29017","Alagoinhas","5677.557"
"238","29018","Entre Rios","4355.178"
"239","29019","Catu","2775.53"
"240","29020","Santo Antônio de Jesus","5653.353"
"241","29021","Salvador","2893.126"
"242","29022","Boquira","16114.263"
"243","29023","Seabra","20738.634"
"244","29024","Jequié","17229.608"
"245","29025","Livramento do Brumado","5120.558"
"246","29026","Guanambi","23447.325"
"247","29027","Brumado","15398.386"
"248","29028","Vitória da Conquista","18756.107"
"249","29029","Itapetinga","11339.353"
"250","29030","Valença","5746.751"
"251","29031","Ilhéus-Itabuna","21254.095"
"252","29032","Porto Seguro","27685.074"
"253","31001","Unaí","27404.851"
"254","31002","Paracatu","35008.329"
"255","31003","Januária","33193.541"
"256","31004","Janaúba","15042.602"
"257","31005","Salinas","17824.502"
"258","31006","Pirapora","23006.879"
"259","31007","Montes Claros","22356.986"
"260","31008","Grão Mogol","9070.993"
"261","31009","Bocaiúva","7894.402"
"262","31010","Diamantina","7367.383"
"263","31011","Capelinha","12008.027"
"264","31012","Araçuaí","10272.342"
"265","31013","Pedra Azul","5060.211"
"266","31014","Almenara","15439.63"
"267","31015","Teófilo Otoni","11608.928"
"268","31016","Nanuque","8484.21"
"269","31017","Ituiutaba","8736.204"
"270","31018","Uberlândia","18772.278"
"271","31019","Patrocínio","11986.84"
"272","31020","Patos de Minas","10735.201"
"273","31021","Frutal","16839.971"
"274","31022","Uberaba","9373.589"
"275","31023","Araxá","14097.631"
"276","31024","Três Marias","10510.137"
"277","31025","Curvelo","13741.153"
"278","31026","Bom Despacho","7495.258"
"279","31027","Sete Lagoas","8574.662"
"280","31028","Conceição do Mato Dentro","6814.56"
"281","31029","Pará de Minas","1767.602"
"282","31030","Belo Horizonte","5820.818"
"283","31031","Itabira","8080.908"
"284","31032","Itaguara","2423.105"
"285","31033","Ouro Preto","3147.773"
"286","31034","Conselheiro Lafaiete","2943.585"
"287","31035","Guanhães","5779.792"
"288","31036","Peçanha","4602.184"
"289","31037","Governador Valadares","11325.09"
"290","31038","Mantena","1851.34"
"291","31039","Ipatinga","4317.859"
"292","31040","Caratinga","5522.09"
"293","31041","Aimorés","8315.264"
"294","31042","Piuí","7659.936"
"295","31043","Divinópolis","5090.441"
"296","31044","Formiga","4561.171"
"297","31045","Campo Belo","2698.809"
"298","31046","Oliveira","4027.848"
"299","31047","Passos","7104.746"
"300","31048","São Sebastião do Paraíso","5155.298"
"301","31049","Alfenas","4991.634"
"302","31050","Varginha","7606.267"
"303","31051","Poços de Caldas","4638.889"
"304","31052","Pouso Alegre","4920.259"
"305","31053","Santa Rita do Sapucaí","3287.471"
"306","31054","São Lourenço","3833.477"
"307","31055","Andrelândia","5053.118"
"308","31056","Itajubá","2984.831"
"309","31057","Lavras","3442.242"
"310","31058","São João Del Rei","5773.999"
"311","31059","Barbacena","3364.249"
"312","31060","Ponte Nova","4868.62"
"313","31061","Manhuaçu","4857.079"
"314","31062","Viçosa","4825.257"
"315","31063","Muriaé","4741.009"
"316","31064","Ubá","3586.11"
"317","31065","Juiz de Fora","8913.61"
"318","31066","Cataguases","3916.041"
"319","32001","Barra de São Francisco","4025.037"
"320","32002","Nova Venécia","3661.223"
"321","32003","Colatina","4358.955"
"322","32004","Montanha","2972.835"
"323","32005","São Mateus","4621.838"
"324","32006","Linhares","6918.349"
"325","32007","Afonso Cláudio","3824.354"
"326","32008","Santa Teresa","3308.709"
"327","32009","Vitória","1446.976"
"328","32010","Guarapari","2097.231"
"329","32011","Alegre","3468.871"
"330","32012","Cachoeiro de Itapemirim","4094.192"
"331","32013","Itapemirim","1275.874"
"332","33001","Itaperuna","3128.96"
"333","33002","Santo Antônio de Pádua","2242.785"
"334","33003","Campos dos Goytacazes","7160.409"
"335","33004","Macaé","2581.481"
"336","33005","Três Rios","1653.997"
"337","33006","Cantagalo-Cordeiro","1244.48"
"338","33007","Nova Friburgo","2110.193"
"339","33008","Santa Maria Madalena","1798.045"
"340","33009","Bacia de São João","1628.717"
"341","33010","Lagos","2010.403"
"342","33011","Vale do Paraíba Fluminense","3824.633"
"343","33012","Barra do Piraí","2364.16"
"344","33013","Baía da Ilha Grande","1737.506"
"345","33014","Vassouras","1564.001"
"346","33015","Serrana","1784.545"
"347","33016","Macacu-Caceribu","1414.207"
"348","33017","Itaguaí","915.611"
"349","33018","Rio de Janeiro","4586.29"
"350","35001","Jales","3929.227"
"351","35002","Fernandópolis","2809.983"
"352","35003","Votuporanga","3200.798"
"353","35004","São José do Rio Preto","10399.619"
"354","35005","Catanduva","2282.08"
"355","35006","Auriflama","2314.046"
"356","35007","Nhandeara","2022.84"
"357","35008","Novo Horizonte","2435.159"
"358","35009","Barretos","2717.112"
"359","35010","São Joaquim da Barra","5564.009"
"360","35011","Ituverava","2004.446"
"361","35012","Franca","3442.988"
"362","35013","Jaboticabal","4714.686"
"363","35014","Ribeirão Preto","6007.889"
"364","35015","Batatais","3088.626"
"365","35016","Andradina","6886.209"
"366","35017","Araçatuba","5364.702"
"367","35018","Birigui","4510.474"
"368","35019","Lins","3874.726"
"369","35020","Bauru","8510.204"
"370","35021","Jaú","4035.253"
"371","35022","Avaré","5907.853"
"372","35023","Botucatu","4374.588"
"373","35024","Araraquara","6265.593"
"374","35025","São Carlos","3184.971"
"375","35026","Rio Claro","2948.297"
"376","35027","Limeira","2312.324"
"377","35028","Piracicaba","3787.123"
"378","35029","Pirassununga","1741.915"
"379","35030","São João da Boa Vista","5431.544"
"380","35031","Mogi Mirim","2345.121"
"381","35032","Campinas","3083.022"
"382","35033","Amparo","1630.393"
"383","35034","Dracena","2864.065"
"384","35035","Adamantina","3660.25"
"385","35036","Presidente Prudente","17514.802"
"386","35037","Tupã","2303.853"
"387","35038","Marília","4865.934"
"388","35039","Assis","7137.303"
"389","35040","Ourinhos","5568.664"
"390","35041","Itapeva","7676.382"
"391","35042","Itapetininga","3729.153"
"392","35043","Tatuí","2241.017"
"393","35044","Capão Bonito","6536.699"
"394","35045","Piedade","4171.637"
"395","35046","Sorocaba","4199.143"
"396","35047","Jundiaí","801.679"
"397","35048","Bragança Paulista","3131.489"
"398","35049","Campos do Jordão","1008.849"
"399","35050","São José dos Campos","4043.957"
"400","35051","Guaratinguetá","2702.406"
"401","35052","Bananal","2064.026"
"402","35053","Paraibuna/Paraitinga","4416.839"
"403","35054","Caraguatatuba","1941.836"
"404","35055","Registro","11191.878"
"405","35056","Itanhaém","2015.239"
"406","35057","Osasco","685.132"
"407","35058","Franco da Rocha","600.115"
"408","35059","Guarulhos","778.174"
"409","35060","Itapecerica da Serra","1472.277"
"410","35061","São Paulo","2349.812"
"411","35062","Mogi das Cruzes","2061.446"
"412","35063","Santos","1357.605"
"413","41001","Paranavaí","10182.292"
"414","41002","Umuarama","10232.498"
"415","41003","Cianorte","4073.936"
"416","41004","Goioerê","4865.577"
"417","41005","Campo Mourão","7069.708"
"418","41006","Astorga","5116.969"
"419","41007","Porecatu","2368.6"
"420","41008","Floraí","1299.665"
"421","41009","Maringá","1573.271"
"422","41010","Apucarana","2277.897"
"423","41011","Londrina","3500.094"
"424","41012","Faxinal","2264.98"
"425","41013","Ivaiporã","6154.282"
"426","41014","Assaí","2238.7"
"427","41015","Cornélio Procópio","4536.572"
"428","41016","Jacarezinho","2755.917"
"429","41017","Ibaiti","3034.271"
"430","41018","Wenceslau Braz","3161.225"
"431","41019","Telêmaco Borba","9489.583"
"432","41020","Jaguariaíva","5657.96"
"433","41021","Ponta Grossa","6705.987"
"434","41022","Toledo","8754.724"
"435","41023","Cascavel","8516.316"
"436","41024","Foz do Iguaçu","5579.955"
"437","41025","Capanema","2317.75"
"438","41026","Francisco Beltrão","5450.345"
"439","41027","Pato Branco","3882.627"
"440","41028","Pitanga","4893.287"
"441","41029","Guarapuava","16187.863"
"442","41030","Palmas","5382.082"
"443","41031","Prudentópolis","6092.699"
"444","41032","Irati","2834.126"
"445","41033","União da Vitória","5502.099"
"446","41034","São Mateus do Sul","2531.741"
"447","41035","Cerro Azul","3467.982"
"448","41036","Lapa","2280.44"
"449","41037","Curitiba","8541.287"
"450","41038","Paranaguá","6055.337"
"451","41039","Rio Negro","2474.592"
"452","42001","São Miguel do Oeste","4254.023"
